image_id,prefix
CelebA-HQ-img/0.jpg,CelebAMask-HQ-mask-anno/0/00000
CelebA-HQ-img/10000.jpg,CelebAMask-HQ-mask-anno/5/10000
CelebA-HQ-img/10001.jpg,CelebAMask-HQ-mask-anno/5/10001
CelebA-HQ-img/10002.jpg,CelebAMask-HQ-mask-anno/5/10002
CelebA-HQ-img/10003.jpg,CelebAMask-HQ-mask-anno/5/10003
CelebA-HQ-img/10004.jpg,CelebAMask-HQ-mask-anno/5/10004
CelebA-HQ-img/10005.jpg,CelebAMask-HQ-mask-anno/5/10005
CelebA-HQ-img/10006.jpg,CelebAMask-HQ-mask-anno/5/10006
CelebA-HQ-img/10007.jpg,CelebAMask-HQ-mask-anno/5/10007
CelebA-HQ-img/10008.jpg,CelebAMask-HQ-mask-anno/5/10008
CelebA-HQ-img/10009.jpg,CelebAMask-HQ-mask-anno/5/10009
CelebA-HQ-img/1000.jpg,CelebAMask-HQ-mask-anno/0/01000
CelebA-HQ-img/10010.jpg,CelebAMask-HQ-mask-anno/5/10010
CelebA-HQ-img/10011.jpg,CelebAMask-HQ-mask-anno/5/10011
CelebA-HQ-img/10012.jpg,CelebAMask-HQ-mask-anno/5/10012
CelebA-HQ-img/10013.jpg,CelebAMask-HQ-mask-anno/5/10013
CelebA-HQ-img/10014.jpg,CelebAMask-HQ-mask-anno/5/10014
CelebA-HQ-img/10015.jpg,CelebAMask-HQ-mask-anno/5/10015
CelebA-HQ-img/10016.jpg,CelebAMask-HQ-mask-anno/5/10016
CelebA-HQ-img/10017.jpg,CelebAMask-HQ-mask-anno/5/10017
CelebA-HQ-img/10018.jpg,CelebAMask-HQ-mask-anno/5/10018
CelebA-HQ-img/10019.jpg,CelebAMask-HQ-mask-anno/5/10019
CelebA-HQ-img/1001.jpg,CelebAMask-HQ-mask-anno/0/01001
CelebA-HQ-img/10020.jpg,CelebAMask-HQ-mask-anno/5/10020
CelebA-HQ-img/10021.jpg,CelebAMask-HQ-mask-anno/5/10021
CelebA-HQ-img/10022.jpg,CelebAMask-HQ-mask-anno/5/10022
CelebA-HQ-img/10023.jpg,CelebAMask-HQ-mask-anno/5/10023
CelebA-HQ-img/10024.jpg,CelebAMask-HQ-mask-anno/5/10024
CelebA-HQ-img/10025.jpg,CelebAMask-HQ-mask-anno/5/10025
CelebA-HQ-img/10026.jpg,CelebAMask-HQ-mask-anno/5/10026
CelebA-HQ-img/10027.jpg,CelebAMask-HQ-mask-anno/5/10027
CelebA-HQ-img/10028.jpg,CelebAMask-HQ-mask-anno/5/10028
CelebA-HQ-img/10029.jpg,CelebAMask-HQ-mask-anno/5/10029
CelebA-HQ-img/1002.jpg,CelebAMask-HQ-mask-anno/0/01002
CelebA-HQ-img/10030.jpg,CelebAMask-HQ-mask-anno/5/10030
CelebA-HQ-img/10031.jpg,CelebAMask-HQ-mask-anno/5/10031
CelebA-HQ-img/10032.jpg,CelebAMask-HQ-mask-anno/5/10032
CelebA-HQ-img/10033.jpg,CelebAMask-HQ-mask-anno/5/10033
CelebA-HQ-img/10034.jpg,CelebAMask-HQ-mask-anno/5/10034
CelebA-HQ-img/10035.jpg,CelebAMask-HQ-mask-anno/5/10035
CelebA-HQ-img/10036.jpg,CelebAMask-HQ-mask-anno/5/10036
CelebA-HQ-img/10037.jpg,CelebAMask-HQ-mask-anno/5/10037
CelebA-HQ-img/10038.jpg,CelebAMask-HQ-mask-anno/5/10038
CelebA-HQ-img/10039.jpg,CelebAMask-HQ-mask-anno/5/10039
CelebA-HQ-img/1003.jpg,CelebAMask-HQ-mask-anno/0/01003
CelebA-HQ-img/10040.jpg,CelebAMask-HQ-mask-anno/5/10040
CelebA-HQ-img/10041.jpg,CelebAMask-HQ-mask-anno/5/10041
CelebA-HQ-img/10042.jpg,CelebAMask-HQ-mask-anno/5/10042
CelebA-HQ-img/10043.jpg,CelebAMask-HQ-mask-anno/5/10043
CelebA-HQ-img/10044.jpg,CelebAMask-HQ-mask-anno/5/10044
CelebA-HQ-img/10045.jpg,CelebAMask-HQ-mask-anno/5/10045
CelebA-HQ-img/10046.jpg,CelebAMask-HQ-mask-anno/5/10046
CelebA-HQ-img/10047.jpg,CelebAMask-HQ-mask-anno/5/10047
CelebA-HQ-img/10048.jpg,CelebAMask-HQ-mask-anno/5/10048
CelebA-HQ-img/10049.jpg,CelebAMask-HQ-mask-anno/5/10049
CelebA-HQ-img/1004.jpg,CelebAMask-HQ-mask-anno/0/01004
CelebA-HQ-img/10050.jpg,CelebAMask-HQ-mask-anno/5/10050
CelebA-HQ-img/10051.jpg,CelebAMask-HQ-mask-anno/5/10051
CelebA-HQ-img/10052.jpg,CelebAMask-HQ-mask-anno/5/10052
CelebA-HQ-img/10053.jpg,CelebAMask-HQ-mask-anno/5/10053
CelebA-HQ-img/10054.jpg,CelebAMask-HQ-mask-anno/5/10054
CelebA-HQ-img/10055.jpg,CelebAMask-HQ-mask-anno/5/10055
CelebA-HQ-img/10056.jpg,CelebAMask-HQ-mask-anno/5/10056
CelebA-HQ-img/10057.jpg,CelebAMask-HQ-mask-anno/5/10057
CelebA-HQ-img/10058.jpg,CelebAMask-HQ-mask-anno/5/10058
CelebA-HQ-img/10059.jpg,CelebAMask-HQ-mask-anno/5/10059
CelebA-HQ-img/1005.jpg,CelebAMask-HQ-mask-anno/0/01005
CelebA-HQ-img/10060.jpg,CelebAMask-HQ-mask-anno/5/10060
CelebA-HQ-img/10061.jpg,CelebAMask-HQ-mask-anno/5/10061
CelebA-HQ-img/10062.jpg,CelebAMask-HQ-mask-anno/5/10062
CelebA-HQ-img/10063.jpg,CelebAMask-HQ-mask-anno/5/10063
CelebA-HQ-img/10064.jpg,CelebAMask-HQ-mask-anno/5/10064
CelebA-HQ-img/10065.jpg,CelebAMask-HQ-mask-anno/5/10065
CelebA-HQ-img/10066.jpg,CelebAMask-HQ-mask-anno/5/10066
CelebA-HQ-img/10067.jpg,CelebAMask-HQ-mask-anno/5/10067
CelebA-HQ-img/10068.jpg,CelebAMask-HQ-mask-anno/5/10068
CelebA-HQ-img/10069.jpg,CelebAMask-HQ-mask-anno/5/10069
CelebA-HQ-img/1006.jpg,CelebAMask-HQ-mask-anno/0/01006
